Session ID,Date,Login Time (Local),Logout Time (Local),Duration,Status,Device,IP Address
"sess_1786509814979","Aug 12","Aug 12 2026 10:13:34 AM","Active Session","00m 00s","Active","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786509814978","Aug 12","Aug 12 2026 10:13:34 AM","Aug 12 2026 10:13:34 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786509478486","Aug 12","Aug 12 2026 10:07:58 AM","Aug 12 2026 10:13:34 AM","05m 36s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786509478484","Aug 12","Aug 12 2026 10:07:58 AM","Aug 12 2026 10:07:58 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786509228504","Aug 12","Aug 12 2026 10:03:48 AM","Aug 12 2026 10:07:58 AM","04m 09s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786509228501","Aug 12","Aug 12 2026 10:03:48 AM","Aug 12 2026 10:03:48 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786509198661","Aug 12","Aug 12 2026 10:03:18 AM","Aug 12 2026 10:03:48 AM","00m 29s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786509198658","Aug 12","Aug 12 2026 10:03:18 AM","Aug 12 2026 10:03:18 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508968128","Aug 12","Aug 12 2026 09:59:28 AM","Aug 12 2026 10:03:18 AM","03m 50s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508968125","Aug 12","Aug 12 2026 09:59:28 AM","Aug 12 2026 09:59:28 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508957718","Aug 12","Aug 12 2026 09:59:17 AM","Aug 12 2026 09:59:28 AM","00m 10s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508957717","Aug 12","Aug 12 2026 09:59:17 AM","Aug 12 2026 09:59:17 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508938996","Aug 12","Aug 12 2026 09:58:58 AM","Aug 12 2026 09:59:17 AM","00m 18s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508938995","Aug 12","Aug 12 2026 09:58:58 AM","Aug 12 2026 09:58:58 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508884122","Aug 12","Aug 12 2026 09:58:04 AM","Aug 12 2026 09:58:58 AM","00m 54s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508884121","Aug 12","Aug 12 2026 09:58:04 AM","Aug 12 2026 09:58:04 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508882737","Aug 12","Aug 12 2026 09:58:02 AM","Aug 12 2026 09:58:04 AM","00m 01s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
